Time (s)	P1 (Pa)	P2 (Pa)	P3 (Pa)	P4 (Pa)	P5 (Pa)	P6 (Pa)	P7 (Pa)	P8 (Pa)		H1 (m)	H2 (m)	H3 (m)	H4 (m)
0.057032245	-24.8	-4.6	-49.13333333	-28.93333333	-9.666666667	-0.933333333	5.066666667	-5.066666667		0.0002	0.000533333	0.0004	0.5432
0.058013401	-14.73333333	6.4	-36.73333333	-13.8	6.4	14.73333333	20.66666667	10.13333333		0.0002	0.000533333	0.0004	0.543
0.059020376	-12.4	11.46666667	-31.73333333	-6	17	26.2	32.6	22.53333333		0.0002	0.000466667	0.0004	0.542533333
0.060027352	-14.73333333	11	-33.53333333	-3.666666667	20.66666667	32.13333333	36.73333333	29.4		0.0002	0.000466667	0.0004	0.541933333
0.061034328	-13.8	11.46666667	-31.73333333	0.933333333	22.06666667	33.53333333	36.73333333	30.8		0.0002	0.000466667	0.0004	0.5414
0.062015483	-11	14.73333333	-28	7.333333333	20.66666667	33.06666667	35.86666667	29.4		0.0002	0.000466667	0.0004	0.5406
0.063022459	-11	13.8	-28.46666667	7.8	17.46666667	31.26666667	33.06666667	29.4		0.0002	0.000466667	0.0004	0.539933333
0.064029435	-12.4	11	-31.73333333	4.133333333	13.8	29.86666667	30.8	29.4		0.0002	0.000533333	0.0004	0.5392
0.065010591	-17	6	-36.73333333	-2.266666667	6.4	23.86666667	25.73333333	24.8		0.0002	0.000533333	0.0004	0.538466667
0.066017566	-22.53333333	-1.4	-42.73333333	-11	-2.733333333	13.8	15.6	13.8		0.000133333	0.000533333	0.0004	0.537933333
0.067024542	-28	-8.266666667	-50.06666667	-19.26666667	-12.4	2.266666667	2.733333333	0		0.000133333	0.000533333	0.0004	0.537533333
0.068031518	-32.13333333	-13.8	-57.4	-28.93333333	-21.13333333	-7.8	-7.8	-13.33333333		0.000133333	0.000533333	0.0004	0.5372
0.069012673	-37.2	-18.86666667	-64.8	-38.13333333	-28	-16.06666667	-15.6	-22.53333333		0.000133333	0.000533333	0.0004	0.537
0.070019649	-47.8	-29.86666667	-76.26666667	-49.6	-34.93333333	-23.86666667	-23.86666667	-31.73333333		0.000133333	0.000533333	0.0004	0.5372
0.071026625	-54.2	-38.13333333	-83.13333333	-57.86666667	-40.4	-29.4	-28.93333333	-36.73333333		0.0002	0.000533333	0.0004	0.537466667
0.0720336	-46.86666667	-29.86666667	-75.8	-51.93333333	-34.93333333	-24.8	-24.33333333	-33.06666667		0.0002	0.000533333	0.0004	0.537866667
0.073014756	-36.73333333	-18.86666667	-63.86666667	-41.33333333	-25.73333333	-16.06666667	-14.26666667	-23.4		0.0002	0.000533333	0.0004	0.538333333
0.074021732	-28.46666667	-11.46666667	-55.13333333	-32.6	-17	-7.333333333	-5.066666667	-13.8		0.0002	0.000533333	0.0004	0.538933333
0.075028707	-21.13333333	-3.666666667	-45.46666667	-22.53333333	-7.333333333	2.733333333	6.4	-2.266666667		0.0002	0.000533333	0.0004	0.539533333
0.076009863	-14.73333333	4.6	-38.13333333	-12.4	4.6	14.73333333	20.2	13.33333333		0.0002	0.000533333	0.0004	0.54
0.077016839	-9.666666667	11.46666667	-31.73333333	-4.133333333	13.8	25.73333333	30.8	24.8		0.0002	0.000533333	0.0004	0.540333333
0.078023815	-6.4	16.06666667	-26.66666667	2.266666667	18.86666667	30.8	35.4	28.46666667		0.0002	0.000533333	0.0004	0.5404
0.07903079	-10.13333333	13.8	-28	2.266666667	17.46666667	28.46666667	32.6	26.2		0.0002	0.000533333	0.0004	0.540066667
0.080011946	-21.13333333	3.666666667	-38.13333333	-6.4	10.13333333	22.06666667	25.26666667	19.73333333		0.0002	0.000533333	0.0004	0.539533333
0.081018922	-33.06666667	-8.266666667	-49.13333333	-17.46666667	1.4	12.4	14.26666667	9.666666667		0.0002	0.000533333	0.0004	0.538866667
0.082025897	-43.2	-18.86666667	-60.2	-28	-11.46666667	-0.933333333	0.933333333	-3.666666667		0.0002	0.000533333	0.0004	0.538133333
0.083032873	-45.93333333	-23.4	-65.26666667	-33.06666667	-20.66666667	-9.666666667	-7.8	-12.4		0.0002	0.000533333	0.0004	0.5376
0.084014029	-40.86666667	-21.13333333	-61.6	-31.73333333	-22.06666667	-10.13333333	-9.2	-14.73333333		0.000133333	0.000533333	0.0004	0.537133333
0.085021004	-35.86666667	-18.4	-58.8	-31.26666667	-22.53333333	-11.46666667	-10.13333333	-16.06666667		0.0002	0.000533333	0.0004	0.5366
0.08602798	-29.4	-11.46666667	-54.2	-28	-21.13333333	-9.666666667	-7.8	-13.8		0.0002	0.000533333	0.0004	0.536133333
0.087034956	-21.13333333	-4.6	-48.26666667	-23	-14.73333333	-3.666666667	-1.4	-6.4		0.0002	0.000533333	0.0004	0.535866667
0.088016112	-16.06666667	-0.933333333	-45.46666667	-19.26666667	-8.266666667	2.733333333	6.4	0		0.0002	0.000533333	0.0004	0.535666667
0.089023087	-10.13333333	6	-40.86666667	-14.26666667	1.4	11.46666667	15.13333333	6.4		0.0002	0.000533333	0.000466667	0.535466667
0.090030063	-10.13333333	8.266666667	-39.53333333	-12.86666667	6.4	17.46666667	20.2	11.93333333		0.0002	0.000533333	0.000466667	0.535333333
0.091011219	-18.4	2.733333333	-44.13333333	-16.53333333	6.4	17	20.66666667	13.33333333		0.0002	0.000533333	0.000466667	0.535066667
0.092018194	-24.8	-3.666666667	-47.8	-19.26666667	6	15.13333333	19.26666667	11.93333333		0.0002	0.000533333	0.000466667	0.534733333
0.09302517	-35.4	-13.8	-57.4	-26.66666667	-1.4	7.8	11.46666667	5.066666667		0.0002	0.000533333	0.000466667	0.534333333
0.094032146	-44.13333333	-22.06666667	-64.8	-33.06666667	-10.13333333	0.933333333	2.733333333	0		0.0002	0.000533333	0.0004	0.534
0.095013301	-43.2	-22.06666667	-63.86666667	-33.06666667	-13.8	-2.266666667	0	-2.266666667		0.0002	0.000533333	0.0004	0.5338
0.096020277	-44.6	-24.33333333	-64.8	-34.46666667	-18.4	-5.066666667	-2.733333333	-5.066666667		0.0002	0.000533333	0.0004	0.533733333
0.097027253	-46.86666667	-27.13333333	-66.6	-36.73333333	-24.33333333	-9.666666667	-7.333333333	-9.666666667		0.0002	0.000533333	0.0004	0.533666667
0.098034229	-40.4	-21.13333333	-61.6	-34	-27.13333333	-13.33333333	-11	-13.8		0.0002	0.000533333	0.000466667	0.5336
0.099015384	-31.73333333	-11.46666667	-53.73333333	-28	-25.73333333	-13.33333333	-11	-14.73333333		0.0002	0.000533333	0.0004	0.5336
0.10002236	-24.33333333	-5.066666667	-45.46666667	-21.6	-18.86666667	-8.733333333	-6.4	-12.4		0.0002	0.000533333	0.0004	0.5336
0.101029336	-14.73333333	3.666666667	-37.2	-12.86666667	-9.666666667	-1.4	0.933333333	-7.333333333		0.0002	0.000533333	0.0004	0.533466667
0.102010491	-9.666666667	8.733333333	-34.46666667	-7.8	-1.4	6.4	9.2	0.933333333		0.0002	0.000533333	0.0004	0.533266667
0.103017467	-12.4	7.333333333	-38.13333333	-8.733333333	2.733333333	12.4	15.6	7.333333333		0.0002	0.000533333	0.000466667	0.533333333
0.104024443	-17	2.733333333	-41.8	-11	8.266666667	16.06666667	19.26666667	10.13333333		0.0002	0.000533333	0.0004	0.5334
0.105031418	-23.4	-2.733333333	-47.8	-16.06666667	9.666666667	18.4	20.66666667	12.4		0.0002	0.000533333	0.0004	0.533333333
0.106012574	-28	-7.333333333	-53.73333333	-21.13333333	9.666666667	18.86666667	21.6	13.8		0.0002	0.000533333	0.0004	0.533333333
0.10701955	-32.13333333	-10.13333333	-57.4	-25.26666667	6	14.73333333	17.46666667	10.13333333		0.0002	0.000533333	0.0004	0.533466667
0.108026526	-40.4	-19.73333333	-65.26666667	-34	-2.266666667	6.4	7.8	2.266666667		0.0002	0.000533333	0.0004	0.533466667
0.109033501	-44.13333333	-24.33333333	-68.93333333	-38.13333333	-8.733333333	1.4	3.666666667	0		0.0002	0.000533333	0.0004	0.533333333
0.110014657	-40.86666667	-21.13333333	-65.26666667	-36.26666667	-13.8	-2.733333333	0	-1.4		0.0002	0.000533333	0.0004	0.533133333
0.111021633	-39.06666667	-18.86666667	-62.46666667	-34.46666667	-20.66666667	-7.8	-5.066666667	-6		0.0002	0.000533333	0.0004	0.532666667
0.112028608	-33.06666667	-13.8	-55.6	-28.93333333	-23.4	-9.666666667	-6.4	-7.333333333		0.0002	0.000533333	0.0004	0.532066667
0.113009764	-27.13333333	-9.666666667	-50.06666667	-24.33333333	-24.8	-11	-7.333333333	-8.266666667		0.0002	0.000466667	0.0004	0.531333333
0.11401674	-25.73333333	-8.266666667	-46.86666667	-22.53333333	-24.8	-11	-6.4	-8.733333333		0.0002	0.000466667	0.0004	0.530466667
0.115023715	-22.53333333	-3.666666667	-43.2	-18.86666667	-19.73333333	-6.4	-2.733333333	-6.4		0.0002	0.000466667	0.0004	0.5294
0.116030691	-22.53333333	-1.4	-42.73333333	-17.93333333	-14.73333333	-2.266666667	0.933333333	-5.066666667		0.0002	0.000466667	0.0004	0.528466667
0.117011847	-22.53333333	-1.4	-44.13333333	-16.53333333	-9.666666667	1.4	3.666666667	-2.733333333		0.0002	0.000466667	0.000466667	0.527666667
0.118018823	-23.4	-2.266666667	-44.6	-16.06666667	-3.666666667	4.6	7.333333333	-0.933333333		0.000133333	0.000466667	0.000466667	0.5272
0.119025798	-28.46666667	-7.333333333	-51.46666667	-20.2	-1.4	7.333333333	8.733333333	0.933333333		0.0002	0.000466667	0.0004	0.527
0.120032774	-33.06666667	-11	-57.86666667	-24.33333333	-0.933333333	10.13333333	11.46666667	5.066666667		0.0002	0.000466667	0.0004	0.526933333
0.12101393	-29.86666667	-9.666666667	-55.6	-22.53333333	2.266666667	13.33333333	15.13333333	8.733333333		0.0002	0.0004	0.0004	0.527066667
0.122020905	-29.4	-11	-55.13333333	-23	2.266666667	13.8	16.53333333	10.13333333		0.0002	0.000466667	0.0004	0.5274
0.123027881	-32.13333333	-14.73333333	-57.4	-26.2	0	13.33333333	15.13333333	10.13333333		0.0002	0.0004	0.0004	0.5278
0.124034857	-30.8	-13.33333333	-56.53333333	-27.6	-2.733333333	9.666666667	11.46666667	7.333333333		0.0002	0.0004	0.0004	0.528333333
0.125016012	-29.4	-11.46666667	-54.2	-28	-6.4	4.6	7.333333333	3.666666667		0.0002	0.000466667	0.0004	0.5288
0.126022988	-28	-11	-52.86666667	-26.66666667	-8.733333333	1.4	4.133333333	1.4		0.0002	0.000466667	0.0004	0.529133333
0.127029964	-27.13333333	-10.13333333	-51.46666667	-25.26666667	-12.4	-1.4	0.933333333	-1.4		0.0002	0.000466667	0.0004	0.529133333
0.12801112	-28	-9.666666667	-50.53333333	-24.33333333	-17.46666667	-7.333333333	-4.133333333	-6		0.0002	0.000466667	0.0004	0.529133333
0.129018095	-28	-6.4	-48.26666667	-22.53333333	-20.66666667	-8.733333333	-6.4	-8.266666667		0.0002	0.000466667	0.0004	0.529
0.130025071	-29.4	-7.333333333	-49.13333333	-22.53333333	-21.13333333	-7.8	-6	-8.733333333		0.0002	0.000466667	0.0004	0.528666667
0.131032047	-30.8	-9.666666667	-50.06666667	-23	-19.73333333	-6.4	-3.666666667	-6		0.0002	0.000466667	0.0004	0.528133333
0.132013202	-26.2	-5.066666667	-46.4	-17.93333333	-13.33333333	-0.933333333	2.266666667	-0.933333333		0.0002	0.000466667	0.0004	0.527533333
0.133020178	-24.33333333	-2.266666667	-44.6	-16.06666667	-8.266666667	2.733333333	6	2.266666667		0.0002	0.0004	0.0004	0.526933333
0.134027154	-24.8	-3.666666667	-46.4	-17.46666667	-3.666666667	6.4	10.13333333	5.066666667		0.0002	0.000466667	0.0004	0.526266667
0.135034129	-24.8	-5.066666667	-46.86666667	-17.93333333	1.4	12.4	15.13333333	9.666666667		0.000266667	0.000466667	0.0004	0.525666667
0.136015285	-28	-8.733333333	-50.53333333	-22.53333333	2.266666667	12.4	14.26666667	9.666666667		0.000266667	0.000466667	0.0004	0.525
0.137022261	-29.86666667	-10.13333333	-53.73333333	-25.26666667	0	9.666666667	11.46666667	6.4		0.0002	0.000466667	0.0004	0.524466667
0.138029237	-28	-8.266666667	-52.86666667	-25.26666667	-0.933333333	8.733333333	11	5.066666667		0.0002	0.000466667	0.0004	0.5242
0.139010392	-28.46666667	-10.13333333	-53.73333333	-27.6	-4.6	6	8.733333333	3.666666667		0.0002	0.000466667	0.0004	0.524066667
0.140017368	-31.73333333	-13.33333333	-56.53333333	-30.33333333	-8.733333333	2.266666667	5.066666667	0.933333333		0.0002	0.000466667	0.0004	0.524066667
0.141024344	-33.06666667	-14.73333333	-57.86666667	-31.73333333	-13.33333333	-2.733333333	0	-2.733333333		0.0002	0.000466667	0.0004	0.524133333
0.142031319	-33.53333333	-15.13333333	-58.8	-32.6	-18.86666667	-7.333333333	-4.133333333	-6.4		0.0002	0.000466667	0.0004	0.524266667
0.143012475	-32.13333333	-13.8	-55.6	-30.33333333	-21.13333333	-8.733333333	-5.066666667	-6.4		0.0002	0.000466667	0.0004	0.524333333
0.144019451	-31.73333333	-12.4	-52.86666667	-27.6	-22.06666667	-9.666666667	-6.4	-7.333333333		0.0002	0.000466667	0.0004	0.524333333
0.145026426	-29.86666667	-10.13333333	-50.53333333	-25.26666667	-22.53333333	-10.13333333	-7.333333333	-7.333333333		0.0002	0.000466667	0.0004	0.524066667
0.146033402	-27.13333333	-6	-46.86666667	-21.6	-19.73333333	-6.4	-3.666666667	-5.066666667		0.0002	0.000466667	0.0004	0.523666667
0.147014558	-28	-6	-46.86666667	-20.2	-16.06666667	-2.266666667	0	-2.266666667		0.0002	0.000466667	0.000333333	0.523333333
0.148021534	-35.4	-13.33333333	-54.2	-26.2	-17	-3.666666667	-0.933333333	-3.666666667		0.0002	0.000466667	0.0004	0.523
0.149028509	-39.06666667	-17.46666667	-58.8	-30.33333333	-18.86666667	-6.4	-2.733333333	-5.066666667		0.0002	0.000466667	0.0004	0.5226
0.150035485	-34.46666667	-11.46666667	-54.2	-26.2	-13.8	-2.733333333	0	-4.6		0.0002	0.000466667	0.0004	0.522333333
0.151016641	-24.33333333	-2.266666667	-45.46666667	-16.53333333	-0.933333333	7.8	11	2.733333333		0.000266667	0.000466667	0.0004	0.522333333
0.152023616	-11.93333333	8.733333333	-34.46666667	-6	13.33333333	22.06666667	23	14.73333333		0.0002	0.000466667	0.0004	0.5224
0.153030592	-0.933333333	18.4	-24.8	3.666666667	22.53333333	30.8	31.73333333	23.4		0.0002	0.000466667	0.0004	0.522533333
0.154011748	0	18.86666667	-25.73333333	3.666666667	24.33333333	33.53333333	35.4	29.4		0.0002	0.000466667	0.0004	0.522733333
0.155018723	-10.13333333	9.666666667	-33.53333333	-6	17.46666667	29.4	33.06666667	30.8		0.0002	0.000466667	0.0004	0.522866667
0.156025699	-18.4	0.933333333	-40.86666667	-13.8	9.666666667	21.13333333	25.73333333	24.33333333		0.0002	0.000466667	0.0004	0.522866667
0.157032675	-24.33333333	-5.066666667	-46.4	-17.93333333	1.4	13.33333333	16.53333333	17		0.0002	0.000466667	0.0004	0.522866667
0.158013831	-34.46666667	-13.33333333	-55.13333333	-27.6	-9.666666667	2.266666667	5.066666667	5.066666667		0.0002	0.000466667	0.0004	0.5226
0.159020806	-46.86666667	-24.8	-68.93333333	-41.33333333	-26.2	-14.73333333	-12.86666667	-14.73333333		0.0002	0.000466667	0.0004	0.522333333
0.160027782	-61.6	-40.4	-84.53333333	-56.53333333	-45.46666667	-33.53333333	-31.73333333	-33.53333333		0.0002	0.000466667	0.0004	0.522066667
0.161034758	-68	-49.13333333	-90.06666667	-63.4	-55.6	-43.66666667	-40.86666667	-40.86666667		0.0002	0.000466667	0.0004	0.521666667
0.162015913	-57	-39.53333333	-80.86666667	-54.66666667	-51.46666667	-39.53333333	-35.86666667	-36.73333333		0.0002	0.000466667	0.0004	0.521066667
0.163022889	-39.06666667	-21.13333333	-62.93333333	-39.53333333	-38.13333333	-25.73333333	-22.53333333	-24.8		0.0002	0.000466667	0.0004	0.520333333
0.164029865	-23.4	-6.4	-47.8	-25.26666667	-23.4	-11	-7.333333333	-11.93333333		0.0002	0.000466667	0.0004	0.519533333
0.165011021	-11	4.6	-35.86666667	-14.26666667	-7.333333333	3.666666667	7.333333333	1.4		0.0002	0.000466667	0.0004	0.518666667
0.166017996	-5.066666667	11.46666667	-29.4	-7.8	10.13333333	19.73333333	23.86666667	16.06666667		0.0002	0.000466667	0.0004	0.5178
0.167024972	-4.6	14.73333333	-27.13333333	-4.133333333	22.06666667	29.86666667	34.46666667	27.13333333		0.0002	0.000466667	0.0004	0.516866667
0.168031948	-1.4	20.66666667	-23	1.4	28.46666667	33.53333333	35.86666667	27.13333333		0.0002	0.000466667	0.0004	0.5162
0.169013103	-2.266666667	21.13333333	-23	3.666666667	31.73333333	35.86666667	36.73333333	28		0.000266667	0.000466667	0.0004	0.515666667
0.170020079	-16.06666667	8.266666667	-35.4	-5.066666667	28.46666667	35.86666667	37.66666667	30.8		0.000266667	0.000466667	0.0004	0.5154
0.171027055	-29.4	-4.6	-49.13333333	-16.06666667	18.86666667	29.4	30.8	25.73333333		0.000266667	0.000466667	0.0004	0.515466667
0.17203403	-36.73333333	-13.33333333	-56.53333333	-24.33333333	5.066666667	18.4	20.2	18.4		0.0004	0.000466667	0.0004	0.515866667
0.173015186	-40.4	-18.4	-60.2	-28.93333333	-4.6	10.13333333	13.8	14.73333333		0.000466667	0.000466667	0.0004	0.5164
0.174022162	-39.53333333	-19.73333333	-58.8	-29.4	-9.666666667	4.6	6.4	8.266666667		0.000466667	0.000466667	0.0004	0.516866667
0.175029137	-35.86666667	-18.86666667	-57.4	-32.6	-17.46666667	-5.066666667	-4.133333333	-3.666666667		0.000466667	0.000466667	0.0004	0.517333333
0.176010293	-33.53333333	-16.06666667	-56.53333333	-34.46666667	-28	-16.06666667	-13.8	-13.33333333		0.0004	0.000466667	0.0004	0.517533333
0.177017269	-31.73333333	-14.73333333	-54.2	-34	-33.53333333	-23.4	-20.2	-19.73333333		0.0004	0.0004	0.0004	0.517533333
0.178024245	-30.8	-14.73333333	-52.86666667	-33.06666667	-35.86666667	-25.73333333	-23	-22.53333333		0.000466667	0.000466667	0.0004	0.517466667
0.17903122	-25.73333333	-8.266666667	-48.26666667	-27.6	-33.06666667	-19.73333333	-16.53333333	-17.46666667		0.0006	0.000466667	0.0004	0.5172
0.180012376	-20.66666667	-0.933333333	-43.2	-20.2	-25.73333333	-10.13333333	-6	-9.666666667		0.000666667	0.000466667	0.0004	0.516733333
0.181019352	-24.8	-3.666666667	-45.46666667	-21.13333333	-18.86666667	-2.733333333	1.4	-2.733333333		0.000733333	0.0004	0.0004	0.516333333
0.182026327	-29.4	-7.333333333	-47.8	-21.6	-11.46666667	2.266666667	6	0.933333333		0.000666667	0.000466667	0.0004	0.515866667
0.183033303	-32.13333333	-11	-51.46666667	-23.86666667	-6.4	3.666666667	6.4	1.4		0.0006	0.000466667	0.0004	0.515266667
